Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000001TIM345,NO,YES,Bus '1',,3PB,None,"0,000","0,000",,"32,49682","-101,50482","  32,497","  32,496","  32,496"," 0,00255"," 0,03136",,,,,,,
B_000003MORO138,NO,YES,Bus '3',,3PB,None,"0,000","0,000",,"20,42912","-102,96413","  20,429","  20,429","  20,429"," 0,00759"," 0,04830",,,,,,,
B_000005HOMER69,NO,YES,Bus '5',,3PB,None,"0,000","0,000",,"11,95999","-95,58753","  11,960","  11,960","  11,960"," 0,02928"," 0,07927",,,,,,,
B_000010RAY69,NO,YES,Bus '10',,3PB,None,"0,000","0,000",,"18,42512","-101,58234","  18,425","  18,425","  18,425"," 0,00975"," 0,05457",,,,,,,
B_000012TIM69,NO,YES,Bus '12',,3PB,None,"0,000","0,000",,"23,07062","-101,47443","  23,071","  23,070","  23,070"," 0,00915"," 0,04335",,,,,,,
B_000013FERNA69,NO,YES,Bus '13',,3PB,None,"0,000","0,000",,"10,51509","-93,67902","  10,515","  10,515","  10,515"," 0,03318"," 0,08951",,,,,,,
B_000014WEBER69,NO,YES,Bus '14',,3PB,None,"0,000","0,000",,"20,57836","-103,73013","  20,578","  20,578","  20,578"," 0,00986"," 0,04802",,,,,,,
B_000015ZEB69,NO,YES,Bus '15',,3PB,None,"0,000","0,000",,"26,31299","-99,72320","  26,313","  26,312","  26,312"," 0,01070"," 0,03605",,,,,,,
B_000016PETE69,NO,YES,Bus '16',,3PB,None,"0,000","0,000",,"19,28170","-99,95358","  19,282","  19,281","  19,281"," 0,01460"," 0,04931",,,,,,,
B_000017PAI69,NO,YES,Bus '17',,3PB,None,"0,000","0,000",,"12,19632","-95,59872","  12,196","  12,196","  12,196"," 0,02624"," 0,07881",,,,,,,
B_000018HANNAH69,NO,YES,Bus '18',,3PB,None,"0,000","0,000",,"11,41072","-96,08134","  11,411","  11,410","  11,410"," 0,03077"," 0,08292",,,,,,,
