Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000001TIM345,NO,YES,Bus '1',,3PB,None,"0,000","0,000",,"32,50397","-101,42271","  32,504","  32,503","  32,503"," 0,00255"," 0,03136",,,,,,,
B_000003MORO138,NO,YES,Bus '3',,3PB,None,"0,000","0,000",,"20,42478","-102,34873","  20,425","  20,424","  20,424"," 0,00759"," 0,04830",,,,,,,
B_000005HOMER69,NO,YES,Bus '5',,3PB,None,"0,000","0,000",,"11,95837","-94,89412","  11,958","  11,958","  11,958"," 0,02928"," 0,07927",,,,,,,
B_000010RAY69,NO,YES,Bus '10',,3PB,None,"0,000","0,000",,"18,42135","-101,30457","  18,421","  18,421","  18,421"," 0,00975"," 0,05456",,,,,,,
B_000012TIM69,NO,YES,Bus '12',,3PB,None,"0,000","0,000",,"23,06956","-101,06067","  23,070","  23,069","  23,069"," 0,00915"," 0,04334",,,,,,,
B_000013FERNA69,NO,YES,Bus '13',,3PB,None,"0,000","0,000",,"10,51324","-93,36149","  10,513","  10,513","  10,513"," 0,03319"," 0,08950",,,,,,,
B_000014WEBER69,NO,YES,Bus '14',,3PB,None,"0,000","0,000",,"20,57869","-102,81807","  20,579","  20,578","  20,578"," 0,00986"," 0,04802",,,,,,,
B_000015ZEB69,NO,YES,Bus '15',,3PB,None,"0,000","0,000",,"26,32064","-99,30182","  26,321","  26,320","  26,320"," 0,01070"," 0,03604",,,,,,,
B_000016PETE69,NO,YES,Bus '16',,3PB,None,"0,000","0,000",,"19,28393","-99,53524","  19,284","  19,284","  19,284"," 0,01460"," 0,04930",,,,,,,
B_000017PAI69,NO,YES,Bus '17',,3PB,None,"0,000","0,000",,"12,19578","-95,23022","  12,196","  12,196","  12,196"," 0,02624"," 0,07880",,,,,,,
B_000018HANNAH69,NO,YES,Bus '18',,3PB,None,"0,000","0,000",,"11,40870","-95,52049","  11,409","  11,408","  11,408"," 0,03077"," 0,08291",,,,,,,
B_000019GROSS69,NO,YES,Bus '19',,3PB,None,"0,000","0,000",,"11,34626","-93,26089","  11,346","  11,346","  11,346"," 0,03048"," 0,08390",,,,,,,
B_000020SCOT69,NO,YES,Bus '20',,3PB,None,"0,000","0,000",,"10,48422","-94,59600","  10,484","  10,484","  10,484"," 0,03159"," 0,09083",,,,,,,
B_000021WOLEN69,NO,YES,Bus '21',,3PB,None,"0,000","0,000",,"11,85553","-97,23673","  11,856","  11,855","  11,855"," 0,02868"," 0,07700",,,,,,,
B_000024HIMAN69,NO,YES,Bus '24',,3PB,None,"0,000","0,000",,"18,70769","-93,91149","  18,708","  18,707","  18,707"," 0,01976"," 0,04915",,,,,,,
B_000027HISKY69,NO,YES,Bus '27',,3PB,None,"0,000","0,000",,"17,84078","-100,02819","  17,841","  17,840","  17,840"," 0,01509"," 0,05374",,,,,,,
B_000028JO345,NO,YES,Bus '28',,3PB,None,"0,000","0,000",,"63,61790","-100,91573","  63,618","  63,617","  63,617"," 0,00063"," 0,01618",,,,,,,
B_000029JO138,NO,YES,Bus '29',,3PB,None,"0,000","0,000",,"35,56852","-101,55138","  35,569","  35,568","  35,568"," 0,00223"," 0,02869",,,,,,,
B_000030CAROL138,NO,YES,Bus '30',,3PB,None,"0,000","0,000",,"21,05219","-100,65331","  21,052","  21,052","  21,052"," 0,00783"," 0,04713",,,,,,,
B_000031SLACK345,NO,YES,Bus '31',,3PB,None,"0,000","0,000",,"52,77065","-100,71912","  52,771","  52,769","  52,769"," 0,00138"," 0,01947",,,,,,,
B_000032NICOL138,NO,YES,Bus '32',,3PB,None,"0,000","0,000",,"21,83300","-100,15840","  21,833","  21,833","  21,833"," 0,00754"," 0,04558",,,,,,,
B_000033NICOL69,NO,YES,Bus '33',,3PB,None,"0,000","0,000",,"12,28182","-100,64804","  12,282","  12,282","  12,282"," 0,01506"," 0,08106",,,,,,,
B_000034PATTEN69,NO,YES,Bus '34',,3PB,None,"0,000","0,000",,"11,84777","-95,97797","  11,848","  11,848","  11,848"," 0,02688"," 0,08043",,,,,,,
B_000035SLACK138,NO,YES,Bus '35',,3PB,None,"0,000","0,000",,"25,05572","-101,31331","  25,056","  25,055","  25,055"," 0,00375"," 0,04068",,,,,,,
