Branch
BusNumFrom,BusNameFrom,BusNumTo,BusNameTo,Circuit,Status,BranchDeviceType,IsXF,R,X,G,B,Tap,LimitMVAA,LimitMVAB,LimitMVAC
28,JO345,29,JO138,1,Closed,Transformer,YES,"  0,00087","  0,05100"," 0,00000","  0,00000"," 1,00000","    220,0","    220,0","    220,0"
12,TIM69,40,TIM138,2,Closed,Transformer,YES,"  0,00107","  0,04039"," 0,00000"," -0,00420"," 1,03125","    187,0","    187,0","    187,0"
39,RAY138,38,RAY345,1,Closed,Transformer,YES,"  0,00094","  0,05107"," 0,00000"," -0,01270"," 1,00000","    224,0","    255,0","    224,0"
12,TIM69,40,TIM138,1,Closed,Transformer,YES,"  0,00107","  0,04039"," 0,00000"," -0,00420"," 1,03125","    187,0","    187,0","    187,0"
44,LAUF69,41,LAUF138,1,Closed,Transformer,YES,"  0,00250","  0,07144"," 0,00000"," -0,00450"," 1,02125","    101,0","    101,0","    101,0"
48,BOB69,47,BOB138,1,Closed,Transformer,YES,"  0,00101","  0,03925"," 0,00000"," -0,00350"," 1,05000","    187,0","    187,0","    187,0"
44,LAUF69,41,LAUF138,2,Closed,Transformer,YES,"  0,00244","  0,06829"," 0,00000"," -0,00600"," 1,02125","    101,0","    101,0","    101,0"
33,NICOL69,32,NICOL138,1,Closed,Transformer,YES,"  0,00250","  0,07230"," 0,00000","  0,00000"," 1,00000","    101,0","    101,0","    101,0"
54,SANDERS69,53,SANDERS138,1,Closed,Transformer,YES,"  0,00134","  0,04988"," 0,00000"," -0,00040"," 1,00000","    187,0","    187,0","    187,0"
1,TIM345,40,TIM138,1,Closed,Transformer,YES,"  0,00100","  0,06230"," 0,00000","  0,00000"," 1,00000","    250,0","    250,0","    250,0"
28,JO345,29,JO138,2,Closed,Transformer,YES,"  0,00087","  0,05100"," 0,00000","  0,00000"," 1,00000","    220,0","    220,0","    220,0"
10,RAY69,39,RAY138,1,Closed,Transformer,YES,"  0,00106","  0,03949"," 0,00000"," -0,00410"," 1,01250","    186,7","    186,7","    186,7"
35,SLACK138,31,SLACK345,1,Closed,Transformer,YES,"  0,00087","  0,05100"," 0,00000","  0,00000"," 1,00000","    220,0","    220,0","    220,0"
39,RAY138,38,RAY345,2,Closed,Transformer,YES,"  0,00095","  0,05116"," 0,00000"," -0,01240"," 1,00000","    224,0","    255,0","    224,0"
