Bus
Number,BusCat,Slack,Name,AreaName,EPCType,NomkV,Vpu,kV,Vangle,LoadMW,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber
31,Slack,YES,SLACK345,1,0,"345,00"," 1,03000"," 355,350","  -14,78",,,"  335,92","   76,52",,"    0,00","    0,00",1,1
27,PQ,NO,HISKY69,1,1,"69,00"," 0,99582","  68,712","  -25,70","   20,00","    6,00",,,,"    0,00","    0,00",1,1
10,PQ,NO,RAY69,1,1,"69,00"," 1,02101","  70,449","  -21,43","   16,80","    2,50",,,,"    0,00","    0,00",1,1
12,PQ,NO,TIM69,1,1,"69,00"," 1,02191","  70,511","  -22,97","   22,90","    6,50",,,,"    0,00","    0,00",1,1
13,PQ,NO,FERNA69,1,1,"69,00"," 1,00350","  69,242","  -23,70","   20,00","    4,00",,,"    8,06","    0,00","    0,00",1,1
15,PQ,NO,ZEB69,1,1,"69,00"," 0,98946","  68,273","  -25,82","   58,20","   36,30",,,"   12,34","    0,00","    0,00",1,1
55,PQ,NO,DEMAR69,1,1,"69,00"," 0,99375","  68,569","  -25,26","   22,65","    6,15",,,,"    0,00","    0,00",1,1
16,PQ,NO,PETE69,1,1,"69,00"," 0,99147","  68,411","  -26,02","   57,80","   40,40",,,"   28,31","    0,00","    0,00",1,1
17,PQ,NO,PAI69,1,1,"69,00"," 1,01293","  69,892","  -23,64","   32,80","   12,90",,,"   16,01","    0,00","    0,00",1,1
18,PQ,NO,HANNAH69,1,1,"69,00"," 1,00900","  69,621","  -25,87","   45,00","   12,00",,,"   18,33","    0,00","    0,00",1,1
19,PQ,NO,GROSS69,1,1,"69,00"," 1,01286","  69,887","  -23,22","   18,30","    5,00",,,,"    0,00","    0,00",1,1
20,PQ,NO,SCOT69,1,1,"69,00"," 1,00821","  69,566","  -23,77","   15,30","    5,00",,,"    7,32","    0,00","    0,00",1,1
21,PQ,NO,WOLEN69,1,1,"69,00"," 0,98743","  68,133","  -26,85","   74,40","   26,80",,,,"    0,00","    0,00",1,1
5,PQ,NO,HOMER69,1,1,"69,00"," 1,01055","  69,728","  -25,16","   14,00","    3,20",,,,"    0,00","    0,00",1,1
1,PQ,NO,TIM345,1,1,"345,00"," 1,02264"," 352,810","  -16,07",,,,,,"    0,00","    0,00",1,1
56,PQ,NO,LYNN138,1,1,"138,00"," 1,02231"," 141,079","  -16,48","   14,00","    3,70",,,,"    0,00","    0,00",1,1
29,PQ,NO,JO138,1,1,"138,00"," 1,02361"," 141,258","  -16,00",,,,,,"    0,00","    0,00",1,1
30,PQ,NO,CAROL138,1,1,"138,00"," 1,00586"," 138,808","  -20,09","   23,40","    6,20",,,,"    0,00","    0,00",1,1
3,PQ,NO,MORO138,1,1,"138,00"," 0,99867"," 137,816","  -21,28","   12,30","    5,00",,,,"    0,00","    0,00",1,1
32,PQ,NO,NICOL138,1,1,"138,00"," 1,00873"," 139,204","  -19,55",,,,,,"    0,00","    0,00",1,1
33,PQ,NO,NICOL69,1,1,"69,00"," 1,01255","  69,866","  -21,17","   28,00","    6,00",,,,"    0,00","    0,00",1,1
34,PQ,NO,PATTEN69,1,1,"69,00"," 1,00472","  69,326","  -24,45","   22,74","    3,00",,,,"    0,00","    0,00",1,1
35,PQ,NO,SLACK138,1,1,"138,00"," 1,02351"," 141,245","  -16,57",,,,,,"    0,00","    0,00",1,1
37,PQ,NO,AMANDA69,1,1,"69,00"," 1,00762","  69,526","  -25,92","   27,00","    3,00",,,,"    0,00","    0,00",1,1
38,PQ,NO,RAY345,1,1,"345,00"," 1,02294"," 352,913","  -16,07",,,,,,"    0,00","    0,00",1,1
39,PQ,NO,RAY138,1,1,"138,00"," 1,01010"," 139,393","  -19,19",,,,,,"    0,00","    0,00",1,1
40,PQ,NO,TIM138,1,1,"138,00"," 0,99908"," 137,873","  -21,01",,,,,,"    0,00","    0,00",1,1
41,PQ,NO,LAUF138,1,1,"138,00"," 1,00090"," 138,125","  -21,31",,,,,,"    0,00","    0,00",1,1
24,PQ,NO,HIMAN69,1,1,"69,00"," 0,99100","  68,379","  -25,79","   36,30","   10,40",,,,"    0,00","    0,00",1,1
47,PQ,NO,BOB138,1,1,"138,00"," 0,98207"," 135,525","  -23,44",,,,,,"    0,00","    0,00",1,1
44,PV,NO,LAUF69,1,2,"69,00"," 1,02000","  70,380","  -23,81","   59,80","   12,30","   20,00","   30,82","    0,00","    0,00","    0,00",1,1
14,PQ (Gens at Var Limit),NO,WEBER69,1,2,"69,00"," 1,00883","  69,609","  -24,41","   22,20","   15,20","   10,00","    5,00","    7,33","    0,00","    0,00",1,1
54,PQ,NO,SANDERS69,1,2,"69,00"," 0,99140","  68,407","  -25,77","   12,43","    5,73","    0,00","    0,00",,"    0,00","    0,00",1,1
53,PQ (Gens at Var Limit),NO,SANDERS138,1,2,"138,00"," 0,98418"," 135,817","  -23,62","   59,50","   27,80","  100,00","   45,00",,"    0,00","    0,00",1,1
28,PV,NO,JO345,1,2,"345,00"," 1,03000"," 355,350","  -13,13",,,"  300,00","    3,85",,"    0,00","    0,00",1,1
50,PV,NO,DAVIS69,1,2,"69,00"," 1,02000","  70,380","  -22,20","   14,10","    3,00","   38,00","   12,77",,"    0,00","    0,00",1,1
48,PV,NO,BOB69,1,2,"69,00"," 1,00000","  69,000","  -26,07","   55,80","   12,50","   16,00","   -5,60",,"    0,00","    0,00",1,1
