Load
BusNum,BusName,AreaName,ZoneName,ID,Status,MW,Mvar,MVA,SMW,SMvar,DistStatus,DistMWInput,DistMvarInput
3,MORO138,1,MPL,1,Closed,"   12,30","    5,00","   13,28","   12,30","    5,00",Closed,"    0,00","    0,00"
5,HOMER69,1,MPL,1,Closed,"   14,00","    3,20","   14,36","   14,00","    3,20",Closed,"    0,00","    0,00"
10,RAY69,1,MPL,1,Closed,"   16,80","    2,50","   16,98","   16,80","    2,50",Closed,"    0,00","    0,00"
12,TIM69,1,MPL,1,Closed,"   22,90","    6,50","   23,80","   22,90","    6,50",Closed,"    0,00","    0,00"
13,FERNA69,1,MPL,1,Closed,"   20,00","    4,00","   20,40","   20,00","    4,00",Closed,"    0,00","    0,00"
14,WEBER69,1,MPL,1,Closed,"   22,20","   15,20","   26,91","   22,20","   15,20",Closed,"    0,00","    0,00"
15,ZEB69,1,MPL,1,Closed,"   58,20","   36,30","   68,59","   58,20","   36,30",Closed,"    0,00","    0,00"
16,PETE69,1,MPL,1,Closed,"   57,80","   40,40","   70,52","   57,80","   40,40",Closed,"    0,00","    0,00"
17,PAI69,1,MPL,1,Closed,"   32,80","   12,90","   35,25","   32,80","   12,90",Closed,"    0,00","    0,00"
18,HANNAH69,1,MPL,1,Closed,"   45,00","   12,00","   46,57","   45,00","   12,00",Closed,"    0,00","    0,00"
19,GROSS69,1,MPL,1,Closed,"   18,30","    5,00","   18,97","   18,30","    5,00",Closed,"    0,00","    0,00"
20,SCOT69,1,MPL,1,Closed,"   15,30","    5,00","   16,10","   15,30","    5,00",Closed,"    0,00","    0,00"
21,WOLEN69,1,MPL,1,Closed,"   74,40","   26,80","   79,08","   74,40","   26,80",Closed,"    0,00","    0,00"
24,HIMAN69,1,MPL,1,Closed,"   36,30","   10,40","   37,76","   36,30","   10,40",Closed,"    0,00","    0,00"
27,HISKY69,1,MPL,1,Closed,"   20,00","    6,00","   20,88","   20,00","    6,00",Closed,"    0,00","    0,00"
30,CAROL138,1,MPL,1,Closed,"   23,40","    6,20","   24,21","   23,40","    6,20",Closed,"    0,00","    0,00"
33,NICOL69,1,MPL,1,Closed,"   28,00","    6,00","   28,64","   28,00","    6,00",Closed,"    0,00","    0,00"
34,PATTEN69,1,MPL,1,Closed,"   22,74","    3,00","   22,94","   14,00","    3,00",Closed,"    0,00","    0,00"
37,AMANDA69,1,MPL,1,Closed,"   27,00","    3,00","   27,17","   27,00","    3,00",Closed,"    0,00","    0,00"
44,LAUF69,1,MPL,1,Closed,"   59,80","   12,30","   61,05","   59,80","   12,30",Closed,"    0,00","    0,00"
48,BOB69,1,MPL,1,Closed,"   55,80","   12,50","   57,18","   55,80","   12,50",Closed,"    0,00","    0,00"
50,DAVIS69,1,MPL,1,Closed,"   14,10","    3,00","   14,42","   14,10","    3,00",Closed,"    0,00","    0,00"
53,SANDERS138,1,MPL,1,Closed,"   59,50","   27,80","   65,67","   59,50","   27,80",Closed,"    0,00","    0,00"
54,SANDERS69,1,MPL,1,Closed,"   12,43","    5,73","   13,69","   12,43","    5,73",Closed,"    0,00","    0,00"
55,DEMAR69,1,MPL,1,Closed,"   22,65","    6,15","   23,47","   22,65","    6,15",Closed,"    0,00","    0,00"
56,LYNN138,1,MPL,1,Closed,"   14,00","    3,70","   14,48","   14,00","    3,70",Closed,"    0,00","    0,00"
