Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000001TIM345,NO,YES,Bus '1',,3PB,None,"0,000","0,000",,"32,50244","-101,42146","  32,502","  32,502","  32,502"," 0,00255"," 0,03136",,,,,,,
B_000003MORO138,NO,YES,Bus '3',,3PB,None,"0,000","0,000",,"20,42385","-102,34275","  20,424","  20,423","  20,423"," 0,00759"," 0,04830",,,,,,,
B_000005HOMER69,NO,YES,Bus '5',,3PB,None,"0,000","0,000",,"11,95804","-94,88657","  11,958","  11,958","  11,958"," 0,02928"," 0,07927",,,,,,,
B_000010RAY69,NO,YES,Bus '10',,3PB,None,"0,000","0,000",,"18,41974","-101,29762","  18,420","  18,419","  18,419"," 0,00975"," 0,05457",,,,,,,
B_000012TIM69,NO,YES,Bus '12',,3PB,None,"0,000","0,000",,"23,06731","-101,05354","  23,067","  23,067","  23,067"," 0,00915"," 0,04335",,,,,,,
B_000013FERNA69,NO,YES,Bus '13',,3PB,None,"0,000","0,000",,"10,51248","-93,35236","  10,512","  10,512","  10,512"," 0,03319"," 0,08950",,,,,,,
B_000014WEBER69,NO,YES,Bus '14',,3PB,None,"0,000","0,000",,"20,57855","-102,81084","  20,579","  20,578","  20,578"," 0,00986"," 0,04802",,,,,,,
B_000015ZEB69,NO,YES,Bus '15',,3PB,None,"0,000","0,000",,"26,31050","-99,28892","  26,311","  26,310","  26,310"," 0,01070"," 0,03605",,,,,,,
B_000016PETE69,NO,YES,Bus '16',,3PB,None,"0,000","0,000",,"19,27959","-99,52264","  19,280","  19,279","  19,279"," 0,01461"," 0,04931",,,,,,,
B_000017PAI69,NO,YES,Bus '17',,3PB,None,"0,000","0,000",,"12,19516","-95,22314","  12,195","  12,195","  12,195"," 0,02624"," 0,07880",,,,,,,
B_000018HANNAH69,NO,YES,Bus '18',,3PB,None,"0,000","0,000",,"11,40830","-95,51300","  11,408","  11,408","  11,408"," 0,03077"," 0,08292",,,,,,,
