bus,name,bus_category,powerworld_V_pu,python_V_pu,delta_V_pu,abs_delta_V_pu,delta_V_percent_of_PW,powerworld_angle_deg,python_angle_deg,delta_angle_deg,abs_delta_angle_deg
31,SLACK345,Slack,1.03,1.03,0.0,0.0,0.0,-14.78,-14.78,0.0,0.0
27,HISKY69,PQ,0.99582,0.9929766970736975,-0.0028433029263025267,0.0028433029263025267,-0.2855237820391764,-25.7,-25.711973578630513,-0.011973578630517068,0.011973578630517068
10,RAY69,PQ,1.02101,1.0194443233226258,-0.0015656766773741726,0.0015656766773741726,-0.1533458709879602,-21.43,-21.437523016913133,-0.007523016913125957,0.007523016913125957
12,TIM69,PQ,1.02191,1.0205522583837412,-0.0013577416162589007,0.0013577416162589007,-0.1328631304379936,-22.97,-22.98725253754055,-0.01725253754054279,0.01725253754054279
13,FERNA69,PQ,1.0035,1.0012654184761303,-0.002234581523869794,0.002234581523869794,-0.22267877666863917,-23.7,-23.701012925822443,-0.0010129258224367277,0.0010129258224367277
15,ZEB69,PQ,0.98946,0.9859290297386661,-0.0035309702613338656,0.0035309702613338656,-0.35685831274976915,-25.82,-25.82578838231512,-0.005788382315131457,0.005788382315131457
55,DEMAR69,PQ,0.99375,0.9908234072226244,-0.002926592777375614,0.002926592777375614,-0.2944999021258479,-25.26,-25.27298309935004,-0.012983099350037719,0.012983099350037719
16,PETE69,PQ,0.99147,0.9883659333977153,-0.003104066602284683,0.003104066602284683,-0.31307720881970036,-26.02,-26.032390348132306,-0.012390348132299778,0.012390348132299778
17,PAI69,PQ,1.01293,1.0114701949647038,-0.0014598050352963021,0.0014598050352963021,-0.1441170698168977,-23.64,-23.656016549563827,-0.016016549563829585,0.016016549563829585
18,HANNAH69,PQ,1.009,1.0080890517129473,-0.0009109482870526264,0.0009109482870526264,-0.09028228811225238,-25.87,-25.898738848864024,-0.028738848864009015,0.028738848864009015
19,GROSS69,PQ,1.01286,1.0113629667262565,-0.0014970332737436198,0.0014970332737436198,-0.14780258611689864,-23.22,-23.23274157929123,-0.01274157929123021,0.01274157929123021
20,SCOT69,PQ,1.00821,1.00820064387262,-9.356127379955836e-06,9.356127379955836e-06,-0.0009279939080108148,-23.77,-23.799470093052744,-0.029470093052736956,0.029470093052736956
21,WOLEN69,PQ,0.98743,0.9819328077693118,-0.00549719223068823,0.00549719223068823,-0.5567171577416353,-26.85,-26.83010157601542,0.019898423984585634,0.019898423984585634
5,HOMER69,PQ,1.01055,1.010076887616059,-0.00047311238394098787,0.00047311238394098787,-0.046817315713323225,-25.16,-25.19114640710677,-0.031146407106774632,0.031146407106774632
