bus,I_SCC_base_pu,I_SCC_scenario_pu,delta_I_SCC_pu,delta_I_SCC_pct,SCL_base_pu,SCL_scenario_pu,delta_SCL_pu,delta_SCL_pct,SCL_base_MVA,SCL_scenario_MVA,delta_SCL_MVA,V_base_pu,V_scenario_pu,delta_V_pu,delta_V_pct
31,52.77210853408625,47.25940571214604,-5.512702821940209,-10.446243243018186,52.77210853408625,47.25940571214604,-5.512702821940209,-10.446243243018186,5277.210853408625,4725.9405712146045,-551.2702821940202,1.03,1.03,0.0,0.0
27,17.792808961009214,17.519955049884533,-0.27285391112468105,-1.5335066639708623,17.792808961009214,17.519955049884533,-0.27285391112468105,-1.5335066639708623,1779.2808961009214,1751.9955049884534,-27.285391112468005,0.9929766970736976,0.9934277709261792,0.00045107385248155385,0.04542642881860859
10,18.39409509782949,17.925597841779638,-0.4684972560498508,-2.546998118462124,18.39409509782949,17.925597841779638,-0.4684972560498508,-2.546998118462124,1839.4095097829488,1792.5597841779638,-46.849725604985,1.0194443233226258,1.0199298092847306,0.00048548596210484796,0.04762260684551432
12,23.04112850458046,22.337325171250715,-0.7038033333297449,-3.054552354889355,23.04112850458046,22.337325171250715,-0.7038033333297449,-3.054552354889355,2304.112850458046,2233.732517125072,-70.38033333297426,1.0205522583837412,1.020865688283711,0.0003134298999698526,0.03071179328594448
13,10.490677524323166,10.36731288377768,-0.12336464054548557,-1.1759454073338773,10.490677524323166,10.36731288377768,-0.12336464054548557,-1.1759454073338773,1049.0677524323166,1036.731288377768,-12.336464054548742,1.0012654184761305,1.0017811225726814,0.0005157040965508841,0.0515052339803922
15,26.228721632042813,25.77284572009632,-0.45587591194649235,-1.738079035424902,26.228721632042813,25.77284572009632,-0.45587591194649235,-1.738079035424902,2622.872163204281,2577.284572009632,-45.58759119464912,0.985929029738666,0.9864343350382592,0.0005053052995931395,0.05125169097892143
55,10.515517629596202,10.42241139985078,-0.09310622974542149,-0.8854174661204651,10.515517629596202,10.42241139985078,-0.09310622974542149,-0.8854174661204651,1051.5517629596202,1042.2411399850778,-9.310622974542412,0.9908234072226244,0.991554343660846,0.000730936438221641,0.07377060663822303
16,19.22732531176096,18.93529630410142,-0.29202900765954,-1.5188228363771004,19.22732531176096,18.93529630410142,-0.29202900765954,-1.5188228363771004,1922.732531176096,1893.529630410142,-29.202900765953927,0.9883659333977152,0.9888391954085106,0.00047326201079544994,0.0478832783287575
17,12.179242474617304,11.978065518573205,-0.20117695604409924,-1.6518018790033213,12.179242474617304,11.978065518573205,-0.20117695604409924,-1.6518018790033213,1217.9242474617304,1197.8065518573203,-20.117695604410073,1.0114701949647038,1.011742603181102,0.00027240821639828994,0.026931907411052867
18,11.399360218573698,11.254046103933698,-0.14531411463999966,-1.2747567569908898,11.399360218573698,11.254046103933698,-0.14531411463999966,-1.2747567569908898,1139.9360218573695,1125.4046103933697,-14.531411463999802,1.0080890517129473,1.0084249296975332,0.00033587798458589724,0.03331828512720901
19,11.330264741836451,11.15604455105836,-0.17422019077809203,-1.5376533095011669,11.330264741836451,11.15604455105836,-0.17422019077809203,-1.5376533095011669,1133.0264741836452,1115.604455105836,-17.422019077809182,1.0113629667262565,1.0117702263646982,0.00040725963844168156,0.04026839540703824
