bus,pre_fault_V_mag,pre_fault_V_ang_deg,P_net,Q_net,P_gen,Q_gen,P_conv,Q_conv,P_load,Q_load,P_shunt,Q_shunt,I_SCC_mag_pu,I_SCC_ang_deg,SCL_pu,SCL_MVA
31,1.03,-14.78,3.3671971336699946,0.8394412660934042,3.3671971336699946,0.8394412660934042,0.0,0.0,0.0,0.0,0.0,0.0,52.77711248618906,-100.7069491030933,52.77711248618906,5277.711248618906
27,0.9921531091922925,-25.729545257147013,-0.2000000000000013,-0.05999999999999228,-1.27675647831893e-15,7.716050021144838e-15,0.0,0.0,0.2,0.06,0.0,0.0,17.78327426972724,-100.00901408080436,17.78327426972724,1778.327426972724
10,1.018989705714683,-21.446761057131596,-0.16800000000000023,-0.025000000000009282,-2.220446049250313e-16,-9.280770596475918e-15,0.0,0.0,0.168,0.025,0.0,0.0,18.38836000711811,-101.29187287307185,18.38836000711811,1838.8360007118108
12,1.02015601618374,-22.99909627760195,-0.22900000000000115,-0.06499999999997393,-1.1657341758564144e-15,2.6076363290883364e-14,0.0,0.0,0.22899999999999998,0.065,0.0,0.0,23.035933316947542,-101.05527248240595,23.035933316947542,2303.5933316947544
13,1.0006136477638485,-23.713399605762504,-0.1999999999999996,-0.03999999999999432,4.163336342344337e-16,5.68295410730002e-15,0.0,0.0,0.2,0.04,0.0,-0.080098213767302,10.485154800511838,-93.34876484037406,10.485154800511838,1048.5154800511839
15,0.9849064145640322,-25.84398123375952,-0.582,-0.363,1.1102230246251565e-16,0.0,0.0,0.0,0.5820000000000001,0.363,0.0,-0.12222512132662153,26.215478271548218,-99.25428351776065,26.215478271548218,2621.547827154822
55,0.989981518864507,-25.290481654791517,-0.2265000000000006,-0.0615000000000043,-6.106226635438361e-16,-4.295175326518574e-15,0.0,0.0,0.22649999999999998,0.061500000000000006,0.0,0.0,10.508296307176703,-89.19231687758806,10.508296307176703,1050.8296307176704
16,0.9874683794402849,-26.05062230459321,-0.5779999999999988,-0.4039999999999892,1.1102230246251565e-15,1.0769163338864018e-14,0.0,0.0,0.578,0.40399999999999997,0.0,-0.2808270145135937,19.216675114877397,-99.50853526443197,19.216675114877397,1921.6675114877396
17,1.0110437020509733,-23.668001400867812,-0.3280000000000061,-0.1290000000000018,-6.161737786669619e-15,-1.8041124150158794e-15,0.0,0.0,0.32799999999999996,0.129,0.0,-0.1594646613232822,12.175293503037485,-95.23080052240405,12.175293503037485,1217.5293503037485
18,1.007823580326228,-25.914118760559678,-0.44999999999999035,-0.11999999999999743,9.658940314238862e-15,2.5673907444456745e-15,0.0,0.0,0.45,0.12,0.0,-0.1828275064310839,11.397199159677449,-95.537683981572,11.397199159677449,1139.7199159677448
19,1.0109273507190095,-23.244025645123717,-0.18299999999999783,-0.04999999999999776,2.1649348980190553e-15,2.2412627309620348e-15,0.0,0.0,0.183,0.05,0.0,0.0,11.326372761068907,-93.25949283890147,11.326372761068907,1132.6372761068906
20,1.0081981418285946,-23.815526412450982,-0.15299999999999986,-0.05000000000000176,1.3877787807814457e-16,-1.7555401576885288e-15,0.0,0.0,0.153,0.05,0.0,-0.07318537150943744,10.484129932145938,-94.63563516145571,10.484129932145938,1048.4129932145938
21,0.9669374014583275,-27.659262971685813,-0.7440000000000024,-0.26799999999999613,-2.3314683517128287e-15,3.885780586188048e-15,0.0,0.0,0.7440000000000001,0.268,0.0,0.0,11.777287262549676,-97.16713807236495,11.777287262549676,1177.7287262549676
5,1.0099394755756739,-25.208532541037787,-0.14000000000000148,-0.03200000000000208,-1.4710455076283324e-15,-2.0816681711721685e-15,0.0,0.0,0.14,0.032,0.0,0.0,11.952197474937323,-94.92507744077055,11.952197474937323,1195.2197474937323
1,1.0223579652894257,-16.072161053581425,1.3620544229678964e-15,2.360894333144354e-14,1.3620544229678964e-15,2.360894333144354e-14,0.0,0.0,0.0,0.0,0.0,0.0,32.49871568776952,-101.41362606214454,32.49871568776952,3249.871568776952
56,1.0219946977546355,-16.48738146891878,-0.13999999999999954,-0.037000000000002434,4.718447854656915e-16,-2.42861286636753e-15,0.0,0.0,0.14,0.037000000000000005,0.0,0.0,18.43168623269664,-99.34533189296975,18.43168623269664,1843.168623269664
29,1.0234681530945555,-16.017901122433337,-2.7270669804867845e-15,0.0,-2.7270669804867845e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.56520304866841,-101.55978553309151,35.56520304866841,3556.520304866841
30,1.0056266723938094,-20.118777858195116,-0.2340000000000059,-0.06199999999999422,-5.9119376061289586e-15,5.780098621954721e-15,0.0,0.0,0.23399999999999999,0.062,0.0,0.0,21.048368458840716,-100.67562529145243,21.048368458840716,2104.836845884072
3,0.9977692430691154,-21.302766246248414,-0.12300000000000096,-0.05000000000000486,-9.43689570931383e-16,-4.85722573273506e-15,0.0,0.0,0.12300000000000001,0.05,0.0,0.0,20.409015767041563,-102.35819665351146,20.409015767041563,2040.9015767041562
32,1.0085217070633443,-19.576303771472606,6.2282423613389565e-15,1.43319554562047e-14,6.2282423613389565e-15,1.43319554562047e-14,0.0,0.0,0.0,0.0,0.0,0.0,21.82949506230682,-100.17915816900972,21.82949506230682,2182.949506230682
33,1.0124422500775103,-21.20469334900812,-0.2800000000000003,-0.06000000000000327,-2.7755575615628914e-16,-3.2751579226442118e-15,0.0,0.0,0.28,0.06,0.0,0.0,12.280742030592148,-100.67520170032508,12.280742030592148,1228.0742030592148
34,1.0047179733949236,-24.500381943851337,-0.22739999999999863,-0.030000000000003232,1.3600232051658168e-15,-3.2335245592207684e-15,0.0,0.0,0.2274,0.03,0.0,0.0,11.847698595926826,-96.02002967638413,11.847698595926826,1184.7698595926825
35,1.0229379277675192,-16.57598450476522,6.81413544101907e-16,0.0,6.81413544101907e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.04370614754024,-101.30679235533114,25.04370614754024,2504.3706147540242
37,1.0064470188369863,-25.955490546823718,-0.2699999999999917,-0.029999999999986364,8.326672684688674e-15,1.3634926521177704e-14,0.0,0.0,0.27,0.03,0.0,0.0,10.862818364540184,-93.15481797712278,10.862818364540184,1086.2818364540183
38,1.0224466954696287,-16.072464105601572,-1.1351438627622876e-15,0.0,-1.1351438627622876e-15,0.0,0.0,0.0,0.0,0.0,0.002927112286214939,0.0,39.46200684173752,-101.1214926159603,39.46200684173752,3946.200684173752
39,1.0084555429001547,-19.195710392108005,-1.5674547882540597e-15,-2.149652281034139e-14,-1.5674547882540597e-15,-2.149652281034139e-14,0.0,0.0,0.0,0.0,0.0,0.0,34.95966629053976,-101.50147121401479,34.95966629053976,3495.966629053976
40,0.9978097201801736,-21.024628871161575,2.6586991812931522e-15,2.8359457933793623e-14,2.6586991812931522e-15,2.8359457933793623e-14,0.0,0.0,0.0,0.0,0.0011947490852232433,0.0,27.850203325123495,-101.66762579335149,27.850203325123495,2785.0203325123493
41,1.0005916848905774,-21.349229655384917,3.2493237859309452e-15,0.0,3.2493237859309452e-15,0.0,0.0,0.0,0.0,0.0,0.0014016572078210305,0.0,27.90020731738461,-102.72587261110465,27.90020731738461,2790.020731738461
24,0.98748333722412,-25.835251544945404,-0.3629999999999964,-0.10399999999999911,3.608224830031759e-15,9.020562075079397e-16,0.0,0.0,0.363,0.10400000000000001,0.0,0.0,18.647046209712713,-93.90358009986511,18.647046209712713,1864.7046209712712
47,0.9775167578688163,-23.42512850970337,9.11619753696031e-15,4.514688304018439e-14,9.11619753696031e-15,4.514688304018439e-14,0.0,0.0,0.0,0.0,0.0005733234071486172,0.0,30.366808647129563,-104.1705384754454,30.366808647129563,3036.6808647129565
44,1.02,-23.873019992504307,-0.3979999999999977,0.2346002306232987,0.2000000000000023,0.3576002306232987,0.0,0.0,0.598,0.12300000000000001,0.0,0.0,30.00720437242517,-102.02201236056551,30.00720437242517,3000.720437242517
14,1.0088303925859583,-24.46695558031901,-0.12200000000000068,-0.10199999999999657,0.09999999999999933,0.05000000000000343,0.0,0.0,0.222,0.152,0.0,-0.07327719079237,20.5786879292844,-102.86162564645775,20.5786879292844,2057.8687929284397
54,0.9867490957490695,-25.78566927035981,-0.1242999999999315,-0.0573000000000106,6.850076061937216e-14,-1.0595690991266338e-14,0.0,0.0,0.1243,0.057300000000000004,0.0,0.0,26.55664566020837,-100.54247097515297,26.55664566020837,2655.664566020837
53,0.9796157310034541,-23.608888976685275,0.40499999999999053,0.17200000000000973,0.9999999999999905,0.4500000000000097,0.0,0.0,0.595,0.278,0.00038385879217177273,0.0,30.294062921057723,-104.44097417488118,30.294062921057723,3029.406292105772
28,1.03,-13.14468324266458,3.000000000000002,0.04467167295049435,3.000000000000002,0.04467167295049435,0.0,0.0,0.0,0.0,0.0,0.0,63.62062081418613,-100.91658707673199,63.62062081418613,6362.062081418613
50,1.02,-22.240932797248966,0.23900000000000007,0.09888748873904028,0.38000000000000006,0.12888748873904027,0.0,0.0,0.141,0.03,0.0,0.0,12.844080905592374,-99.64342339452566,12.844080905592374,1284.4080905592375
48,0.9930042948765633,-26.062509886481887,-0.3980000000000024,-0.2649999999999981,0.15999999999999753,-0.13999999999999813,0.0,0.0,0.5579999999999999,0.125,0.0,0.0,25.190452589044472,-104.07659054562647,25.190452589044472,2519.045258904447
