bus,pre_fault_V_mag,pre_fault_V_ang_deg,P_net,Q_net,P_gen,Q_gen,P_conv,Q_conv,P_load,Q_load,P_shunt,Q_shunt,I_SCC_mag_pu,I_SCC_ang_deg,SCL_pu,SCL_MVA
31,1.03,-14.78,3.36027315278685,0.8223790240910899,3.36027315278685,0.8223790240910899,0.0,0.0,0.0,0.0,0.0,0.0,52.77210853408625,-100.70906189647387,52.77210853408625,5277.210853408625
27,0.9929766970736975,-25.711973578630513,-0.19999999999999218,-0.059999999999981776,7.827072323607354e-15,1.8221535391660382e-14,0.0,0.0,0.2,0.06,0.0,0.0,17.792808961009214,-100.00080346177224,17.792808961009214,1779.2808961009214
10,1.0194443233226258,-21.437523016913133,-0.1680000000000017,-0.024999999999993992,-1.6930901125533637e-15,6.00908212078366e-15,0.0,0.0,0.168,0.025,0.0,0.0,18.39409509782949,-101.28723917689015,18.39409509782949,1839.4095097829488
12,1.0205522583837412,-22.98725253754055,-0.22900000000000484,-0.06499999999997957,-4.85722573273506e-15,2.042810365310288e-14,0.0,0.0,0.22899999999999998,0.065,0.0,0.0,23.04112850458046,-101.04886485295054,23.04112850458046,2304.112850458046
13,1.0012654184761303,-23.701012925822443,-0.19999999999999968,-0.03999999999999904,3.3306690738754696e-16,9.575673587391975e-16,0.0,0.0,0.2,0.04,0.0,-0.08020259505889442,10.490677524323166,-93.34176197283661,10.490677524323166,1049.0677524323166
15,0.9859290297386661,-25.82578838231512,-0.5820000000000166,-0.3629999999999988,-1.6542323066914832e-14,1.1657341758564144e-15,0.0,0.0,0.5820000000000001,0.363,0.0,-0.12247906251185989,26.228721632042813,-99.25144059108312,26.228721632042813,2622.872163204281
55,0.9908234072226244,-25.27298309935004,-0.22649999999999912,-0.06149999999999536,8.604228440844963e-16,4.649058915617843e-15,0.0,0.0,0.22649999999999998,0.061500000000000006,0.0,0.0,10.515517629596202,-89.18290910850668,10.515517629596202,1051.5517629596202
16,0.9883659333977153,-26.032390348132306,-0.5780000000000008,-0.4040000000000119,-8.881784197001252e-16,-1.1934897514720433e-14,0.0,0.0,0.578,0.40399999999999997,0.0,-0.2813377588707275,19.227325311760957,-99.50138373940764,19.227325311760957,1922.7325311760958
17,1.0114701949647038,-23.656016549563827,-0.3280000000000001,-0.12900000000000209,-1.6653345369377348e-16,-2.0816681711721685e-15,0.0,0.0,0.32799999999999996,0.129,0.0,-0.159599225027102,12.179242474617304,-95.22322511916904,12.179242474617304,1217.9242474617304
18,1.0080890517129473,-25.898738848864024,-0.45000000000002754,-0.11999999999999111,-2.7533531010703882e-14,8.881784197001252e-15,0.0,0.0,0.45,0.12,0.0,-0.18292383651303165,11.399360218573698,-95.52599682133803,11.399360218573698,1139.9360218573697
